description,price,rating,review_count,url
"Nokia 3.1 Plus - Android 9.0 Pie - 32 GB - 13 MP Dual Camera - Single SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 6.0"" HD+ Screen - Charcoal",,3.8 out of 5 stars,125,https://www.amazon.com/Nokia-3-1-Plus-Unlocked-Smartphone/dp/B07X37GF12
"Samsung Galaxy A10s with Fingerprint (32GB, 2GB RAM) 6.2"", Android 9.0, Dual SIM GSM Factory Unlocked A107M/DS - US + Global 4G LTE International Model (Blue, 32GB + 64GB SD Bundle)",$218.99,4.3 out of 5 stars,"1,044",https://www.amazon.com/Samsung-Fingerprint-Android-Factory-Unlocked/dp/B07XYDZPWF
"HONOR 8A Dual SIM, 32 GB Storage, 13 MP Rear Camera with 6.09 Inch Full View Display, – Black",,4.6 out of 5 stars,24,https://www.amazon.com/HONOR-Dual-Storage-Camera-Display/dp/B07N6LLSDN
"TCL 10L Unlocked Android Smartphone, 6.53"" FHD+ Display, US Version Cell Phone with 48MP Quad Rear Camera, 6GB+256GB, 4000mAh Battery, Fingerprint Face ID",$234.99,4.0 out of 5 stars,30,https://www.amazon.com/TCL-10L-Unlocked-Smartphone-Fingerprint/dp/B09H5L8X4N
"Nokia 4.2 with Android One (32GB, 3GB) 5.71"" HD+ Display, 13MP Dual Camera, GSM Unlocked (at&T/T-Mobile/MetroPCS/Cricket/H2O) Global 4G LTE International Model TA-1149 (Black, 32 GB)",,4.2 out of 5 stars,118,https://www.amazon.com/Nokia-4-2-Unlocked-T-Mobile-International/dp/B08541W94M
Xiaomi Redmi Note 10 Pro | 128GB 6GB RAM,"$304.00,$331.99",4.3 out of 5 stars,"1,065",https://www.amazon.com/Xiaomi-Factory-Unlocked-Compatible-International/dp/B08Y8MDMF4
TracFone Blu View 2 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA,$28.98,4.1 out of 5 stars,601,https://www.amazon.com/TracFone-View-Prepaid-Smartphone-Locked/dp/B08J4JYD47
"Samsung Galaxy Note20 Ultra (N986B-DS), 5G, International Version (No US Warranty), 256GB 12GB RAM, Mystic Bronze - GSM Unlocked","$965.00,$1,069.00",4.1 out of 5 stars,88,https://www.amazon.com/Samsung-Galaxy-SM-N986B-Hybrid-Mystic/dp/B08FCVNVX8
"Samsung Galaxy A10s SM-A107F/DS (32GB+2GB RAM) 6.2"" HD+ Infinity-V Display, 13MP, LTE Factory Unlocked Smartphone - International Version (Black)",$197.99,4.2 out of 5 stars,255,https://www.amazon.com/SM-A107F-DS-Infinity-V-Unlocked-Smartphone/dp/B083ZHGYK5
"Ulefone Armor 10 5G Rugged Smartphones Unlocked, 8GB 128GB Waterproof Phones, 64MP AI Quad Camera, Android 10, 6.67 inch FHD, NFC, 5800mAh QI 15W Wireless Charging, Fingerprint/Face ID, Global Version",$459.99,3.4 out of 5 stars,77,https://www.amazon.com/Ulefone-Armor-10-Smartphones-Fingerprint/dp/B08NSWF8R8
Straight Talk Samsung Galaxy J7 Crown Prepaid Smartphone,$299.99,4.4 out of 5 stars,188,https://www.amazon.com/Straight-Talk-Samsung-Prepaid-Smartphone/dp/B07KSPMF3V
NUU Mobile G3 Unlocked Smartphone 64GB + 4GB RAM (Rear & Front Camera) HD+ Display Android 8 Cell Phone Sapphire Blue,,3.6 out of 5 stars,292,https://www.amazon.com/NUU-Mobile-Unlocked-Cell-Phone/dp/B07KB3VTB5
"Unlocked Smartphone,IP12 PRO+ Android Smartphone 6.26in Large Screen Unlocked Cellphone Face Recognition Unlocked Android Smartphone Dual Card Dual Standby(Green)",,1.0 out of 5 stars,3,https://www.amazon.com/Unlocked-Smartphone-Android-Cellphone-Recognition/dp/B09LCM3NGK
"Samsung Galaxy Note 9, 128GB, Lavender Purple - Unlocked (Renewed)","$240.00,$255.00",4.4 out of 5 stars,"14,053",https://www.amazon.com/Samsung-Unlocked-Warranty-Certified-Refurbished/dp/B07H8PXT7K
"Samsung Galaxy Note 10 N970 6.3"" Android 256GB Smartphone (Renewed) (Aura Glow, GSM Unlocked)","$348.00,$369.99",4.1 out of 5 stars,72,https://www.amazon.com/Samsung-Android-Smartphone-Renewed-Unlocked/dp/B08L6ZMNFX
"OUKITEL C22 Unlocked Cell Phone,128GB  4GB Android 10 Smartphone,Dual 4G Sim Unlocked Phone 4000mAh Battery,13MP Triple Cameras T-Mobile MetroPCS Straight Talk, 2021 New Mobile Phone,Black",$169.99,3.0 out of 5 stars,4,https://www.amazon.com/OUKITEL-C22-4GB-Android-Smartphone-Cameras-T-Mobile/dp/B09GVK9PXF
Samsung Galaxy A10S A107M 32GB Unlocked GSM DUOS Phone w/ Dual 13MP & 2MP Camera (International Variant/US Compatible LTE) – Black,,4.3 out of 5 stars,"7,504",https://www.amazon.com/Samsung-A107M-Unlocked-International-Compatible/dp/B07XQJ33PL
"LG Aristo 5 LM-K300 5.7"" 32GB 13MP Android Smartphone (Renewed) (Silver, GSM Unlocked)",$99.90,4.0 out of 5 stars,35,https://www.amazon.com/LG-LM-K300-Android-Smartphone-Unlocked/dp/B08PPLQB2P
"SAMSUNG Galaxy S21 Ultra 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, Phantom Silver (SM-G998UZSAXAA) - (Renewed)",$864.95,4.3 out of 5 stars,139,https://www.amazon.com/Galaxy-S21-Ultra-5G-SM-G998UZSAXAA/dp/B092SRFJSH
"(Renewed) Samsung Galaxy S21 Ultra 5G, US Version, 256GB, Phantom Black - Unlocked","$943.97,$1,399.00",4.6 out of 5 stars,196,https://www.amazon.com/Samsung-Galaxy-S21-Ultra-5G/dp/B08X3SKF4S
"Samsung Galaxy A12 (SM-A125F/DS) Dual SIM,128 GB, Factory Unlocked GSM, International Version - No Warranty - Black","$178.80,$188.00",4.1 out of 5 stars,642,https://www.amazon.com/Samsung-SM-A125F-Factory-Unlocked-International/dp/B08T1VR8QW
"BlackBerry Passport Factory Unlocked Cellphone 4.5"" 32GB 13MP (White) - International Version No Warranty",$349.99,3.6 out of 5 stars,30,https://www.amazon.com/BlackBerry-Passport-Factory-Unlocked-Cellphone/dp/B016ARU55G
"Rugged Smartphone, DOOGEE S96 Pro (Official) Cell Phone Unlocked, 8GB + 128GB, Night Vision Camera, 48MP Quad Camera, 6350 mAh, Helio G90,IP68 Waterproof Smartphone GPS/NFC/Android 10 2021(Orange)","$349.99,$399.99",3.9 out of 5 stars,330,https://www.amazon.com/DOOGEE-S96-Official-Smartphone-Waterproof/dp/B08SVW3VFT
"Samsung Galaxy S21+ 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)","$614.00,$949.99",4.4 out of 5 stars,223,https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B08WHKF6RJ
"Rugged Smartphone Ulefone Armor X9 (2021), Waterproof Cell Phones, Global 4G LTE, 8-Octa-core Android 11, 3GB+32GB, 5000mAh Battery, 13MP AI Camera, Face Recognition, Bluetooth, NFC, Compass -Black",$149.99,3.9 out of 5 stars,18,https://www.amazon.com/Smartphone-Ulefone-Waterproof-8-Octa-core-Recognition/dp/B09FPTWDGG
"Unlocked Cell Phones, Android 5.1 Smart Phone HD Full Screen Phone, Dual SIM Unlocked Smartphones, 512MB+4GB RAM 4.0inch Touch Screen Mobile Cell Phone, Best for Father Childrens Christmas Gift (Blue)",$37.99,2.6 out of 5 stars,17,https://www.amazon.com/Unlocked-Android-Smartphones-Childrens-Christmas/dp/B09KVCSZ1P
"AGM M6 4G Unlocked Rugged Feature Phone Bar Phone Dual SIM Cell Phone for Seniors & Kids, IP68/IP69K Waterproof, MIL-STD-810H, T-Mobile, 2.4"" Screen 48MB + 128MB 2500mAh Battery Black",$89.99,3.7 out of 5 stars,47,https://www.amazon.com/AGM-M6-Unlocked-Waterproof-MIL-STD-810H/dp/B0967KLCCG
"Xiaomi Redmi Note 9 Pro Smartphone - 6.67"" DotDisplay, 6 GB + 128 GB, 64 MP AI Quad Camera, 5020mAh (typ) NFC, Bianco (Polar White)","$229.99,$294.00",4.4 out of 5 stars,"1,626",https://www.amazon.com/Xiaomi-Redmi-Note-Pro-DotDisplay/dp/B0881TTJT6
"Rugged Phones, Ulefone Armor 12 5G Octa-core 8GB+128GB Unlocked Smartphone, Android 11, 48MP Quad Rear Camera, 5180mAh, 6.52” HD+, Wireless Charging, NFC, IP68 Waterproof Mobile Phone(Black)",$369.99,3.6 out of 5 stars,37,https://www.amazon.com/Ulefone-Armor-12-5G-Black/dp/B09GVDQ5QK
"Xiaomi Mi 11 Lite (128GB, 6GB) 6.55” 90HZ AMOLED, 64MP Triple Camera, Snapdragon 732G, Dual SIM GSM Unlocked (US + Global) 4G LTE International Version (Fast Car Charger Bundle, Boba Black)",$345.00,4.2 out of 5 stars,208,https://www.amazon.com/Xiaomi-Snapdragon-Unlocked-International-Version/dp/B093JJWXSY
LG G2 D800 32GB Unlocked GSM 4G LTE 2.26 GHz Quad-Core Android Smartphone with 13 MP Camera (White),,4.2 out of 5 stars,435,https://www.amazon.com/LG-G2-Unlocked-Quad-Core-Smartphone/dp/B00LEYY3GI
"SAMSUNG Galaxy S21+ Plus G996U 5G | Fully Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB - Phantom Black - (Renewed)","$621.25,$659.99",4.4 out of 5 stars,108,https://www.amazon.com/Galaxy-S21-5G-Smartphone-Pro-Grade/dp/B096YGNXZ5
"Samsung Galaxy S21 5G, US Version, 256GB, Phantom Gray - Unlocked (Renewed)","$619.00,$975.00",4.5 out of 5 stars,198,https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B08WF93R89
"Samsung Galaxy S21 Ultra 5G | G998U Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, T-Mobile Locked, (Renewed)","$769.80,$825.00",4.5 out of 5 stars,111,https://www.amazon.com/Samsung-Galaxy-S21-Ultra-5G/dp/B093CP6CLX
"Samsung Galaxy A10s with Fingerprint (32GB, 2GB RAM) 6.2"", Android 9.0, Dual SIM GSM Factory Unlocked A107M/DS - US + Global 4G LTE International Model (Red, 32GB + 64GB SD Bundle)",$226.99,4.4 out of 5 stars,888,https://www.amazon.com/Samsung-Fingerprint-Android-Factory-Unlocked/dp/B07XYFHP22
"Apple iPhone 8, 64GB, Gold - for Cricket Wireless (Renewed)",$209.99,4.3 out of 5 stars,82,https://www.amazon.com/Apple-iPhone-64GB-Gold-Wireless/dp/B089KSH6F3
Samsung Galaxy S21 Ultra 5G SM-G998B/DS 256GB 12GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) International Version - Phantom Silver,,4.2 out of 5 stars,107,https://www.amazon.com/Samsung-Galaxy-SM-G998B-International-Version/dp/B08VRYKFWY
